Validation,Normalization,Model,Threshold,Consecutive_Hits,Early_Tol_Frac,Late_Tol_Frac,Base_T_tol_early_Frac,Base_T_tol_late_Frac,Base_T_far_early_Frac,Base_T_far_late_Frac,Score,MAE,Mean_Delta,Missed_Alerts,Tol_Early_Rate,Tol_Late_Rate,Far_Early_Rate,Far_Late_Rate
K-Fold (5),MinMax,LightGBM,0.9,1,0.1,0.12,0.12,0.08,0.06,0.03,33.04071526425568,7.343750000000002,0.5312500000000004,0,37.5%,56.2%,6.2%,0.0%
K-Fold (5),Z-Score,LightGBM,0.9,1,0.1,0.12,0.12,0.08,0.06,0.03,34.1495665551065,7.443750000000001,0.8062499999999999,0,37.5%,56.2%,6.2%,0.0%
K-Fold (5),MinMax,LightGBM,0.9,1,0.08,0.12,0.12,0.08,0.06,0.03,38.229051845309975,7.343750000000002,0.5312500000000004,0,25.0%,56.2%,18.8%,0.0%
K-Fold (5),Z-Score,LightGBM,0.9,1,0.08,0.12,0.12,0.08,0.06,0.03,39.3379031361608,7.443750000000001,0.8062499999999999,0,25.0%,56.2%,18.8%,0.0%
K-Fold (5),MinMax,LightGBM,0.9,1,0.06,0.12,0.12,0.08,0.06,0.03,39.607469729857286,7.343750000000002,0.5312500000000004,0,18.8%,56.2%,25.0%,0.0%
K-Fold (5),Z-Score,LightGBM,0.9,1,0.06,0.12,0.12,0.08,0.06,0.03,40.71632102070811,7.443750000000001,0.8062499999999999,0,18.8%,56.2%,25.0%,0.0%
K-Fold (5),MinMax,LightGBM,0.9,1,0.1,0.1,0.12,0.08,0.06,0.03,67.84236359818783,7.343750000000002,0.5312500000000004,0,37.5%,50.0%,6.2%,6.2%
K-Fold (5),MinMax,LightGBM,0.9,1,0.08,0.1,0.12,0.08,0.06,0.03,73.03070017924212,7.343750000000002,0.5312500000000004,0,25.0%,50.0%,18.8%,6.2%
K-Fold (5),MinMax,LightGBM,0.9,1,0.06,0.1,0.12,0.08,0.06,0.03,74.40911806378944,7.343750000000002,0.5312500000000004,0,18.8%,50.0%,25.0%,6.2%
K-Fold (5),MinMax,LightGBM,0.9,1,0.1,0.08,0.12,0.08,0.06,0.03,104.61909852459877,7.343750000000002,0.5312500000000004,0,37.5%,31.2%,6.2%,25.0%
