Validation,Normalization,Model,MB_Accuracy,MB_Precision,MB_Recall,MB_F1,TP,FP,TN,FN
K-Fold (5),MinMax,Gradient Boosting,0.6741847826086956,0.7531621310847068,0.7797619047619048,0.7662312341587054,1965,644,516,555
K-Fold (5),Z-Score,Gradient Boosting,0.6741847826086956,0.7531621310847068,0.7797619047619048,0.7662312341587054,1965,644,516,555
K-Fold (5),MinMax,XGBoost,0.6703804347826087,0.7596344854986095,0.7587301587301587,0.7591820528092118,1912,605,555,608
K-Fold (5),Z-Score,XGBoost,0.6703804347826087,0.7596344854986095,0.7587301587301587,0.7591820528092118,1912,605,555,608
K-Fold (5),MinMax,LightGBM,0.6785326086956521,0.7612348573661587,0.773015873015873,0.7670801338846229,1948,611,549,572
K-Fold (5),Z-Score,LightGBM,0.6809782608695653,0.7618677042801556,0.776984126984127,0.7693516699410609,1958,612,548,562
K-Fold (5),MinMax,Logistic Regression,0.6415760869565217,0.7036283485927433,0.8234126984126984,0.758822453830682,2075,874,286,445
K-Fold (5),Z-Score,Logistic Regression,0.6451086956521739,0.7066031313818925,0.8238095238095238,0.7607182117991939,2076,862,298,444
K-Fold (5),Z-Score,Random Forest,0.6464673913043478,0.738365271802894,0.7492063492063492,0.7437463068741382,1888,669,491,632
K-Fold (5),MinMax,Random Forest,0.6464673913043478,0.738365271802894,0.7492063492063492,0.7437463068741382,1888,669,491,632
Hold-out,Z-Score,XGBoost,0.6703804347826087,0.7596344854986095,0.7587301587301587,0.7591820528092118,1912,605,555,608
Hold-out,MinMax,XGBoost,0.6703804347826087,0.7596344854986095,0.7587301587301587,0.7591820528092118,1912,605,555,608
Hold-out,MinMax,LightGBM,0.6785326086956521,0.7612348573661587,0.773015873015873,0.7670801338846229,1948,611,549,572
Hold-out,Z-Score,LightGBM,0.6809782608695653,0.7618677042801556,0.776984126984127,0.7693516699410609,1958,612,548,562
Hold-out,Z-Score,Gradient Boosting,0.6741847826086956,0.7531621310847068,0.7797619047619048,0.7662312341587054,1965,644,516,555
Hold-out,MinMax,Gradient Boosting,0.6741847826086956,0.7531621310847068,0.7797619047619048,0.7662312341587054,1965,644,516,555
Hold-out,Z-Score,Random Forest,0.6464673913043478,0.738365271802894,0.7492063492063492,0.7437463068741382,1888,669,491,632
Hold-out,MinMax,Random Forest,0.6464673913043478,0.738365271802894,0.7492063492063492,0.7437463068741382,1888,669,491,632
Hold-out,MinMax,Logistic Regression,0.6415760869565217,0.7036283485927433,0.8234126984126984,0.758822453830682,2075,874,286,445
Hold-out,Z-Score,Logistic Regression,0.6451086956521739,0.7066031313818925,0.8238095238095238,0.7607182117991939,2076,862,298,444
